ISO,Country,Water,Sanitation
AFG,Afghanistan,62.98020808,39.22043325
ALB,Albania,91.39433316,97.69065534
DZA,Algeria,93.46642653,87.48768636
ASM,American Samoa,99.23164,62.23292681
AND,Andorra,100,100
AGO,Angola,41.00586762,39.42942284
AIA,Anguilla,98.21666667,96.91784571
ATG,Antigua and Barbuda,96.73918628,87.50428238
ARG,Argentina,99.62730019,94.83988146
ARM,Armenia,98.92365243,91.58276665
ABW,Aruba,97.86902338,97.54348112
AUS,Australia,99.96870195,100
AUT,Austria,100,99.97337503
AZE,Azerbaijan,84.37787214,89.34908083
BHS,Bahamas,97.79174973,92.01119677
BHR,Bahrain,100,100
BGD,Bangladesh,97.32714248,46.92459323
BRB,Barbados,98.13116783,96.45610169
BLR,Belarus,98.0055556,94.25397986
BEL,Belgium,100,99.48606061
BLZ,Belize,97.12880364,87.1572023
BEN,Benin,67.0172867,13.93011225
BMU,Bermuda,99.90314002,99.90314002
BTN,Bhutan,97.55866085,62.87050065
BOL,Bolivia (Plurinational State of),92.88162636,52.61402673
BIH,Bosnia and Herzegovina,97.66018613,94.78209924
BWA,Botswana,79.17398525,59.95590634
BRA,Brazil,97.49794257,86.14835205
VGB,British Virgin Islands,99.86438356,96.85797948
BRN,Brunei Darussalam,99.513212,96.33040522
BGR,Bulgaria,99.25563508,85.98111231
BFA,Burkina Faso,53.85759552,22.53208118
BDI,Burundi,55.93411981,50.46031707
CPV,Cabo Verde,86.45935273,65.20696389
KHM,Cambodia,74.97079565,48.82544927
CMR,Cameroon,65.27996628,38.83498513
CAN,Canada,98.9,98.5
BES,Caribbean Netherlands,-,-
CYM,Cayman Islands,96.125,95.55
CAF,Central African Republic,54.14386029,25.08699975
TCD,Chad,42.53760447,9.548387843
CHI,Channel Islands,94.15,98.5
CHL,Chile,100,99.8882097
CHN,China,95.81802862,75.03727856
HKG,"China, Hong Kong Special Administrative Region",100,96.3
MAC,"China, Macao Special Administrative Region",100,-
COL,Colombia,96.52202969,84.4391972
COM,Comoros,83.70118759,34.16603722
COG,Congo,68.34045687,15.00932852
COK,Cook Islands,99.87960036,97.62687221
CRI,Costa Rica,99.69781668,97.1485496
CIV,Côte d'Ivoire,73.05741557,29.93183806
HRV,Croatia,99.58590089,97.46612845
CUB,Cuba,95.17550602,90.81850737
CUW,Curaçao,99.37274522,98.81862531
CYP,Cyprus,100,99.36966086
CZE,Czech Republic,99.87968019,99.13616018
PRK,Democratic People's Republic of Korea,99.6245586,77.13465119
COD,Democratic Republic of the Congo,41.83799362,19.71368663
DNK,Denmark,100,99.5972302
DJI,Djibouti,76.92248362,51.37805815
DMA,Dominica,96.5,77.8927615
DOM,Dominican Republic,94.4770736,82.69698174
ECU,Ecuador,92.60993222,86.13821596
EGY,Egypt,98.35749916,93.16947984
SLV,El Salvador,93.01307096,91.12507367
GNQ,Equatorial Guinea,49.59008488,74.53794939
ERI,Eritrea,19.29033047,11.25752675
EST,Estonia,99.61450486,99.60883236
ETH,Ethiopia,39.12426158,7.07891807
FLK,Falkland Islands (Malvinas),94.81541911,100
FRO,Faroe Islands,100,90.88347572
FJI,Fiji,93.71244712,95.67704656
FIN,Finland,100,99.44792464
FRA,France,100,98.65200403
GUF,French Guiana,93.34653131,90.13635766
PYF,French Polynesia,100,96.85461383
GAB,Gabon,87.54092199,40.93038599
GMB,Gambia,80.05859802,41.69376093
GEO,Georgia,93.26352694,84.87671725
DEU,Germany,100,99.2191241
GHA,Ghana,77.79930236,14.27950593
GIB,Gibraltar,99.61827037,-
GRC,Greece,100,98.96396396
GRL,Greenland,100,99.33684017
GRD,Grenada,95.62865044,78.30225647
GLP,Guadeloupe,99.61591771,98.78674668
GUM,Guam,99.6952,90.35076551
GTM,Guatemala,93.59769747,67.36292035
GIN,Guinea,67.37254732,21.95227203
GNB,Guinea-Bissau,69.19660863,21.46600375
GUY,Guyana,95.07132299,86.16405304
HTI,Haiti,64.17431898,30.54379074
VAT,Holy See,-,-
HND,Honduras,92.17872102,79.77644697
HUN,Hungary,99.97125227,97.98953148
ISL,Iceland,100,98.77744156
IND,India,87.55914016,44.15112275
IDN,Indonesia,89.52403041,67.88660816
IRN,Iran (Islamic Republic of),94.86619973,88.28982193
IRQ,Iraq,86.09833055,85.6592985
IRL,Ireland,98.92163909,92.17795166
IMN,Isle of Man,96.2599681,-
ISR,Israel,100,100
ITA,Italy,100,99.28144435
JAM,Jamaica,92.91854636,85.37371383
JPN,Japan,98.9455414,100
JOR,Jordan,98.56668018,96.70805802
KAZ,Kazakhstan,91.14559003,97.80530797
KEN,Kenya,58.45677672,29.84467981
KIR,Kiribati,64.39232856,39.77286044
KWT,Kuwait,100,100
KGZ,Kyrgyzstan,87.2686387,96.58607827
LAO,Lao People's Democratic Republic,80.44735551,72.59428683
LVA,Latvia,98.59556082,92.8639823
LBN,Lebanon,92.25819239,95.35936538
LSO,Lesotho,71.59287175,43.79110608
LBR,Liberia,69.90047658,16.88947781
LBY,Libya,96.75,99.7
LIE,Liechtenstein,100,99.95
LTU,Lithuania,97.38087004,93.62184087
LUX,Luxembourg,99.9508,97.61098261
MDG,Madagascar,50.6213902,9.69366814
MWI,Malawi,67.19508468,43.52960545
MYS,Malaysia,96.43380565,99.57400673
MDV,Maldives,97.88197985,95.86881806
MLI,Mali,74.26804958,31.26833404
MLT,Malta,100,99.96135673
